sentence,label
В столице прошёл культурный фестиваль.,0
Разработчики представили новый процессор.,1
"Кот решил, что он главный в доме.",2
Компания выпустила обновление операционной системы.,1
Учёные создали улучшенный аккумулятор.,1
В столице прошёл культурный фестиваль.,0
Компания выпустила обновление операционной системы.,1
Новая нейросеть умеет генерировать изображения.,1
Цены на топливо снова выросли.,0
Инженеры тестируют беспилотный автомобиль.,1
Компания выпустила обновление операционной системы.,1
Учёные создали улучшенный аккумулятор.,1
Сегодня состоялась встреча министров.,0
Экономисты сообщили о росте инфляции.,0
Квантовые компьютеры становятся мощнее.,1
Компания выпустила обновление операционной системы.,1
На юге страны ожидаются сильные дожди.,0
"Чай остыл быстрее, чем закончилась лекция.",2
"Интернет пропал, и семья впервые поговорила друг с другом.",2
В городе открылся новый медицинский центр.,0
Компьютер завис именно перед сохранением.,2
Кофе помогает людям выглядеть живыми по утрам.,2
Собака украла носок и считает это победой.,2
Экономисты сообщили о росте инфляции.,0
"Чай остыл быстрее, чем закончилась лекция.",2
В аэропорту задержаны несколько рейсов.,0
Студент открыл холодильник в надежде найти мотивацию.,2
Разработчики представили новый процессор.,1
Цены на топливо снова выросли.,0
В аэропорту задержаны несколько рейсов.,0
В городе открылся новый медицинский центр.,0
Кофе помогает людям выглядеть живыми по утрам.,2
Будильник снова победил человека.,2
Экономисты сообщили о росте инфляции.,0
Новая нейросеть умеет генерировать изображения.,1
В аэропорту задержаны несколько рейсов.,0
Учёные обнаружили новый вид морских организмов.,0
Сегодня состоялась встреча министров.,0
Собака украла носок и считает это победой.,2
На юге страны ожидаются сильные дожди.,0
Инженеры тестируют беспилотный автомобиль.,1
"Чай остыл быстрее, чем закончилась лекция.",2
Сегодня состоялась встреча министров.,0
Искусственный интеллект помогает анализировать данные.,1
Кофе помогает людям выглядеть живыми по утрам.,2
Собака украла носок и считает это победой.,2
Разработчики представили новый процессор.,1
Программист искал ошибку пять часов и нашёл лишнюю запятую.,2
"Чай остыл быстрее, чем закончилась лекция.",2
Собака украла носок и считает это победой.,2
Цены на топливо снова выросли.,0
В аэропорту задержаны несколько рейсов.,0
Разработчики улучшили защиту данных.,1
Учёные создали улучшенный аккумулятор.,1
Сегодня состоялась встреча министров.,0
"Чай остыл быстрее, чем закончилась лекция.",2
Клавиатура пережила ещё один эмоциональный игровой матч.,2
Сегодня состоялась встреча министров.,0
Кофе помогает людям выглядеть живыми по утрам.,2
Собака украла носок и считает это победой.,2
"Кот решил, что он главный в доме.",2
Цены на топливо снова выросли.,0
Собака украла носок и считает это победой.,2
Программисты разработали мобильное приложение.,1
В аэропорту задержаны несколько рейсов.,0
Собака украла носок и считает это победой.,2
